Normativa;Link;Tipo de Norma;Número;Día;Año;Mes
DECRETO 116 DEL 25 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 116 DEL 25 DE ENERO DE 2016.pdf;DECRETO;116;25;2016;ENERO
DECRETO 115 DEL 25 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 115 DEL 25 DE ENERO DE 2016.pdf;DECRETO;115;25;2016;ENERO
DECRETO 109 DEL 22 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 109 DEL 22 DE ENERO DE 2016.pdf;DECRETO;109;22;2016;ENERO
DECRETO 108 DEL 22 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 108 DEL 22 DE ENERO DE 2016.pdf;DECRETO;108;22;2016;ENERO
DECRETO 104 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 104 DEL 21 DE ENERO DE 2016.pdf;DECRETO;104;21;2016;ENERO
DECRETO 103 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 103 DEL 21 DE ENERO DE 2016.pdf;DECRETO;103;21;2016;ENERO
DECRETO 102 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 102 DEL 21 DE ENERO DE 2016.pdf;DECRETO;102;21;2016;ENERO
DECRETO 101 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 101 DEL 21 DE ENERO DE 2016.pdf;DECRETO;101;21;2016;ENERO
DECRETO 100 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 100 DEL 21 DE ENERO DE 2016.pdf;DECRETO;100;21;2016;ENERO
DECRETO 099 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 099 DEL 21 DE ENERO DE 2016.pdf;DECRETO;99;21;2016;ENERO
DECRETO 098 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 098 DEL 21 DE ENERO DE 2016.pdf;DECRETO;98;21;2016;ENERO
DECRETO 097 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 097 DEL 21 DE ENERO DE 2016.pdf;DECRETO;97;21;2016;ENERO
DECRETO 096 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 096 DEL 21 DE ENERO DE 2016.pdf;DECRETO;96;21;2016;ENERO
DECRETO 095 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 095 DEL 21 DE ENERO DE 2016.pdf;DECRETO;95;21;2016;ENERO
DECRETO 091 DEL 21 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 091 DEL 21 DE ENERO DE 2016.pdf;DECRETO;91;21;2016;ENERO
DECRETO 70 DEL 18 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 70 DEL 18 DE ENERO DE 2016.pdf;DECRETO;70;18;2016;ENERO
DECRETO 58 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 58 DEL 15 DE ENERO DE 2016.pdf;DECRETO;58;15;2016;ENERO
DECRETO 56 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 56 DEL 15 DE ENERO DE 2016.pdf;DECRETO;56;15;2016;ENERO
DECRETO 55 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 55 DEL 15 DE ENERO DE 2016.pdf;DECRETO;55;15;2016;ENERO
DECRETO 54 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 54 DEL 15 DE ENERO DE 2016.pdf;DECRETO;54;15;2016;ENERO
DECRETO 53 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 53 DEL 15 DE ENERO DE 2016.pdf;DECRETO;53;15;2016;ENERO
DECRETO 52 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 52 DEL 15 DE ENERO DE 2016.pdf;DECRETO;52;15;2016;ENERO
DECRETO 47 DEL 15 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 47 DEL 15 DE ENERO DE 2016.pdf;DECRETO;47;15;2016;ENERO
DECRETO 46 DEL 14 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 46 DEL 14 DE ENERO DE 2016.pdf;DECRETO;46;14;2016;ENERO
DECRETO 45 DEL 14 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 45 DEL 14 DE ENERO DE 2016.pdf;DECRETO;45;14;2016;ENERO
DECRETO 42 DEL 13 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 42 DEL 13 DE ENERO DE 2016.pdf;DECRETO;42;13;2016;ENERO
DECRETO 41 DEL 13 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 41 DEL 13 DE ENERO DE 2016.pdf;DECRETO;41;13;2016;ENERO
DECRETO 39 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 39 DEL 12 DE ENERO DE 2016.pdf;DECRETO;39;12;2016;ENERO
DECRETO 38 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 38 DEL 12 DE ENERO DE 2016.pdf;DECRETO;38;12;2016;ENERO
DECRETO 37 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 37 DEL 12 DE ENERO DE 2016.pdf;DECRETO;37;12;2016;ENERO
DECRETO 36 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 36 DEL 12 DE ENERO DE 2016.pdf;DECRETO;36;12;2016;ENERO
DECRETO 35 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 35 DEL 12 DE ENERO DE 2016.pdf;DECRETO;35;12;2016;ENERO
DECRETO 34 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 34 DEL 12 DE ENERO DE 2016.pdf;DECRETO;34;12;2016;ENERO
DECRETO 33 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 33 DEL 12 DE ENERO DE 2016.pdf;DECRETO;33;12;2016;ENERO
DECRETO 24 DEL 12 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 24 DEL 12 DE ENERO DE 2016.pdf;DECRETO;24;12;2016;ENERO
DECRETO 17 DEL 08 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 17 DEL 08 DE ENERO DE 2016.pdf;DECRETO;17;8;2016;ENERO
DECRETO 13 DEL 06 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 13 DEL 06 DE ENERO DE 2016.pdf;DECRETO;13;6;2016;ENERO
DECRETO 06 DEL 05 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 06 DEL 05 DE ENERO DE 2016.pdf;DECRETO;6;5;2016;ENERO
DECRETO 09 DEL 05 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 09 DEL 05 DE ENERO DE 2016.pdf;DECRETO;9;5;2016;ENERO
DECRETO 08 DEL 05 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 08 DEL 05 DE ENERO DE 2016.pdf;DECRETO;8;5;2016;ENERO
DECRETO 07 DEL 05 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 07 DEL 05 DE ENERO DE 2016.pdf;DECRETO;7;5;2016;ENERO
DECRETO 04 DEL 05 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 04 DEL 05 DE ENERO DE 2016.pdf;DECRETO;4;5;2016;ENERO
DECRETO 03 DEL 05 DE ENERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 03 DEL 05 DE ENERO DE 2016.pdf;DECRETO;3;5;2016;ENERO
DECRETO 344 DEL 29 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 344 DEL 29 DE FEBRERO DE 2016.pdf;DECRETO;344;29;2016;FEBRERO
DECRETO 343 DEL 29 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 343 DEL 29 DE FEBRERO DE 2016.pdf;DECRETO;343;29;2016;FEBRERO
DECRETO 334 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 334 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;334;24;2016;FEBRERO
DECRETO 335 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 335 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;335;24;2016;FEBRERO
DECRETO 333 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 333 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;333;24;2016;FEBRERO
DECRETO 332 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 332 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;332;24;2016;FEBRERO
DECRETO 331 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 331 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;331;24;2016;FEBRERO
DECRETO 329 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 329 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;329;24;2016;FEBRERO
DECRETO 330 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 330 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;330;24;2016;FEBRERO
DECRETO 328 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 328 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;328;24;2016;FEBRERO
DECRETO 327 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 327 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;327;24;2016;FEBRERO
DECRETO 325 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 325 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;325;24;2016;FEBRERO
DECRETO 326 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 326 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;326;24;2016;FEBRERO
DECRETO 316 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 316 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;316;24;2016;FEBRERO
DECRETO 317 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 317 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;317;24;2016;FEBRERO
DECRETO 314 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 314 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;314;24;2016;FEBRERO
DECRETO 315 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 315 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;315;24;2016;FEBRERO
DECRETO 312 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 312 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;312;24;2016;FEBRERO
DECRETO 313 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 313 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;313;24;2016;FEBRERO
DECRETO 310 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 310 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;310;24;2016;FEBRERO
DECRETO 311 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 311 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;311;24;2016;FEBRERO
DECRETO 309 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 309 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;309;24;2016;FEBRERO
DECRETO 307 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 307 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;307;24;2016;FEBRERO
DECRETO 308 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 308 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;308;24;2016;FEBRERO
DECRETO 305 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 305 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;305;24;2016;FEBRERO
DECRETO 306 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 306 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;306;24;2016;FEBRERO
DECRETO 304 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 304 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;304;24;2016;FEBRERO
DECRETO 301 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 301 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;301;24;2016;FEBRERO
DECRETO 303 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 303 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;303;24;2016;FEBRERO
DECRETO 300 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 300 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;300;24;2016;FEBRERO
DECRETO 299 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 299 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;299;24;2016;FEBRERO
DECRETO 298 DEL 24 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 298 DEL 24 DE FEBRERO DE 2016.pdf;DECRETO;298;24;2016;FEBRERO
DECRETO 297 DEL 23 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 297 DEL 23 DE FEBRERO DE 2016.pdf;DECRETO;297;23;2016;FEBRERO
DECRETO 293 DEL 22 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 293 DEL 22 DE FEBRERO DE 2016.pdf;DECRETO;293;22;2016;FEBRERO
DECRETO 290 DEL 19 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 290 DEL 19 DE FEBRERO DE 2016.pdf;DECRETO;290;19;2016;FEBRERO
DECRETO 291 DEL 19 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 291 DEL 19 DE FEBRERO DE 2016.pdf;DECRETO;291;19;2016;FEBRERO
DECRETO 287 DEL 19 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 287 DEL 19 DE FEBRERO DE 2016.pdf;DECRETO;287;19;2016;FEBRERO
DECRETO 285 DEL 19 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 285 DEL 19 DE FEBRERO DE 2016.pdf;DECRETO;285;19;2016;FEBRERO
DECRETO 286 DEL 19 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 286 DEL 19 DE FEBRERO DE 2016.pdf;DECRETO;286;19;2016;FEBRERO
DECRETO 284 DEL 19 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 284 DEL 19 DE FEBRERO DE 2016.pdf;DECRETO;284;19;2016;FEBRERO
DECRETO 280 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 280 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;280;18;2016;FEBRERO
DECRETO 274 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 274 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;274;18;2016;FEBRERO
DECRETO 272 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 272 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;272;18;2016;FEBRERO
DECRETO 273 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 273 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;273;18;2016;FEBRERO
DECRETO 270 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 270 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;270;18;2016;FEBRERO
DECRETO 271 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 271 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;271;18;2016;FEBRERO
DECRETO 269 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 269 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;269;18;2016;FEBRERO
DECRETO 268 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 268 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;268;18;2016;FEBRERO
DECRETO 267 DEL 18 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 267 DEL 18 DE FEBRERO DE 2016.pdf;DECRETO;267;18;2016;FEBRERO
DECRETO 259 DEL 16 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 259 DEL 16 DE FEBRERO DE 2016.pdf;DECRETO;259;16;2016;FEBRERO
DECRETO 260 DEL 16 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 260 DEL 16 DE FEBRERO DE 2016.pdf;DECRETO;260;16;2016;FEBRERO
DECRETO 252 DEL 15 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 252 DEL 15 DE FEBRERO DE 2016.pdf;DECRETO;252;15;2016;FEBRERO
DECRETO 249 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 249 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;249;12;2016;FEBRERO
DECRETO 246 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 246 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;246;12;2016;FEBRERO
DECRETO 247 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 247 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;247;12;2016;FEBRERO
DECRETO 248 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 248 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;248;12;2016;FEBRERO
DECRETO 244 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 244 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;244;12;2016;FEBRERO
DECRETO 245 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 245 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;245;12;2016;FEBRERO
DECRETO 243 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 243 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;243;12;2016;FEBRERO
DECRETO 241 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 241 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;241;12;2016;FEBRERO
DECRETO 242 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 242 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;242;12;2016;FEBRERO
DECRETO 239 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 239 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;239;12;2016;FEBRERO
DECRETO 240 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 240 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;240;12;2016;FEBRERO
DECRETO 237 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 237 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;237;12;2016;FEBRERO
DECRETO 238 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 238 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;238;12;2016;FEBRERO
DECRETO 236 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 236 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;236;12;2016;FEBRERO
DECRETO 234 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 234 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;234;12;2016;FEBRERO
DECRETO 235 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 235 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;235;12;2016;FEBRERO
DECRETO 232 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 232 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;232;12;2016;FEBRERO
DECRETO 233 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 233 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;233;12;2016;FEBRERO
DECRETO 229 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 229 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;229;12;2016;FEBRERO
DECRETO 230 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 230 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;230;12;2016;FEBRERO
DECRETO 231 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 231 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;231;12;2016;FEBRERO
DECRETO 227 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 227 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;227;12;2016;FEBRERO
DECRETO 228 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 228 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;228;12;2016;FEBRERO
DECRETO 225 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 225 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;225;12;2016;FEBRERO
DECRETO 226 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 226 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;226;12;2016;FEBRERO
DECRETO 223 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 223 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;223;12;2016;FEBRERO
DECRETO 224 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 224 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;224;12;2016;FEBRERO
DECRETO 221 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 221 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;221;12;2016;FEBRERO
DECRETO 222 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 222 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;222;12;2016;FEBRERO
DECRETO 219 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 219 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;219;12;2016;FEBRERO
DECRETO 220 DEL 12 DE FEBRERO DE 2016;https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 220 DEL 12 DE FEBRERO DE 2016.pdf;DECRETO;220;12;2016;FEBRERO
